comment,author,date,num_likes
결국 다큐멘터리를 찍는 의미도 다 생명을 존중하는거 아닌가?<br>열번이고 백번이고 생명을 구하는것이 먼저다! 참 잘했다!!!,Kwangsoo Woo,2023-06-12T05:15:19Z,0
"먹이사슬을 파괴하는 행동은 좋지 않다고 생각하지만, 환경에 의해 죽어가는걸 살리는건 괜찮다고 생각함",스이긴토,2023-06-12T02:15:12Z,0
인간이 생태계를 다 파괴해 놓고 생태존중을 외치는 한심함. 당연히 서로 도우며 공존하는것이지.,易智,2023-06-12T01:04:55Z,0
사람이든 동물이든🤔<br>소중한 생명을 구하는건❤❤❤<br>위대한 행동입니다🎇✨🎆🇰🇷🇰🇷🇰🇷,김정하 & 슈퍼맨,2023-06-11T09:39:02Z,2
감사합니다.❤❤❤,대박이FLY,2023-06-11T08:14:52Z,1
인간이라고 뭐 특별한가 꿀벌도 나비도 동물들도 인간이 살려면 동물들 개개인의 능력을 도움 받는데 인간도 자연을 같이 쓰는 입장으로 동물도 자기 능력대로 도움을 주면 인간도 인간 능력대로 도움을 주면 쌤쌤 아닌가 인간이 뭐 특별하다고 같이 쓰는 자연인데 서로 능력대로 도우는거지,효찐,2023-06-11T04:03:57Z,0
내가 생각할수도 없는 그냥 사물이면 도움을 주고 싶어도 도울수 없는데 생각할수있는 인간여서<br>원칙을 깰수밖에 없다,조필두,2023-06-11T03:45:21Z,0
굿,청풍,2023-06-10T15:46:27Z,0
bbc 제작진이 mbc 카메라를 쓰네.,이창수,2023-06-10T10:34:23Z,0
난 솔직히 먹이사슬 건드는거 아니면 도움의 손길을 건네도 괜찮다고 본다.,뭐요,2023-06-09T11:36:42Z,1
먹이그물을 건드리지 않는 건대 아무 문제 없다.,Excellent Counter Measure HL,2023-06-09T09:34:52Z,0
다른 동물에 사냥으로부터 보호해준답시고 개입하는건 안되지만 저런건 구해주는게 맞는거지,jeong wook son,2023-06-07T08:22:32Z,0
펭귄도 얼어죽는 상황이면 인간은 더 힘들었겠다.. 고생많으셨습니다,홍슬기,2023-06-07T05:24:55Z,0
인간이 너무 관여하여 생태계가 파괴되고 많은 동물들이 살곳을 잃었다,윤이랑,2023-06-06T20:26:54Z,0
인간도 자연의 생태계에서 사는게 맞음.<br>  인간도 아프면 병원에 가서 남에게(의사)  도움을받듯.   도움이 필요한 모든 생물은<br>   도움을 받을 자격과 권리가 있음.,확~ 마~,2023-06-05T10:44:14Z,0
지들한테만 관대한 인간,hage,2023-06-05T01:54:25Z,0
멋진 결정 이었음   자연의 섭리 와  생태계 에관여하는건 신의영역이지만 인간의 오만함으로인해 멸종된 동물들 을보며 이건 그들에대한 최소한의 예의라고봄  결국 우리는 지구라는공간에서 같이 살아가는 생명체 이기때문임,상록수,2023-06-04T05:09:56Z,0
