,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
,012450.KS,064350.KS,012450.KS,064350.KS,012450.KS,064350.KS,012450.KS,064350.KS,012450.KS,064350.KS,012450.KS,064350.KS
Date,,,,,,,,,,,,
2020-01-16,33394.234375,16600.0,35100.0,16600.0,35700.0,17550.0,35000.0,16450.0,35600.0,17550.0,143302,1096929
2020-01-17,33108.8125,16250.0,34800.0,16250.0,35650.0,16900.0,34800.0,16200.0,35250.0,16700.0,163866,648650
2020-01-20,33251.5234375,16200.0,34950.0,16200.0,35750.0,16600.0,34800.0,16100.0,34800.0,16250.0,176245,435046
2020-01-21,33869.93359375,16300.0,35600.0,16300.0,36000.0,16800.0,35050.0,16150.0,35250.0,16150.0,331462,525619
2020-01-22,33584.515625,16150.0,35300.0,16150.0,36200.0,16550.0,35000.0,16000.0,35950.0,16450.0,201531,501098
2020-01-23,33441.8046875,16100.0,35150.0,16100.0,35650.0,16250.0,34900.0,15950.0,35100.0,16250.0,158842,377966
2020-01-28,31396.287109375,15000.0,33000.0,15000.0,34900.0,15550.0,32900.0,14950.0,34150.0,15300.0,295585,958055
2020-01-29,32062.26953125,14950.0,33700.0,14950.0,33950.0,15250.0,33100.0,14850.0,33100.0,15100.0,160097,430331
2020-01-30,31539.0,14400.0,33150.0,14400.0,34200.0,15050.0,32800.0,14350.0,33750.0,14850.0,164020,582874
2020-01-31,30920.587890625,14250.0,32500.0,14250.0,33550.0,14750.0,32350.0,14250.0,33100.0,14350.0,152678,535258
2020-02-03,30825.44921875,14200.0,32400.0,14200.0,33150.0,14250.0,31700.0,13650.0,31900.0,14050.0,240432,674035
2020-02-04,31110.869140625,14550.0,32700.0,14550.0,33250.0,14700.0,32150.0,14200.0,32150.0,14250.0,160356,415543
2020-02-05,31443.859375,14600.0,33050.0,14600.0,33650.0,14750.0,32700.0,14450.0,32750.0,14650.0,166290,392867
2020-02-06,32585.544921875,15050.0,34250.0,15050.0,34450.0,15150.0,33350.0,14650.0,33350.0,14650.0,167347,453150
2020-02-07,32252.552734375,15100.0,33900.0,15100.0,34450.0,15400.0,33600.0,14950.0,33950.0,15250.0,125092,470182
2020-02-10,32300.12109375,15850.0,33950.0,15850.0,34050.0,15950.0,33450.0,15150.0,33850.0,15300.0,97356,633716
2020-02-11,32062.26953125,15600.0,33700.0,15600.0,34550.0,15650.0,33600.0,15300.0,34100.0,15500.0,148186,455702
2020-02-12,32204.982421875,15550.0,33850.0,15550.0,34000.0,15700.0,33350.0,15300.0,33350.0,15450.0,130367,348697
2020-02-13,31919.5625,15400.0,33550.0,15400.0,34000.0,16000.0,33300.0,15400.0,33850.0,15600.0,197267,548471
2020-02-14,31681.708984375,15700.0,33300.0,15700.0,33750.0,15750.0,32900.0,15400.0,33300.0,15400.0,160314,311303
2020-02-17,31491.4296875,15800.0,33100.0,15800.0,33400.0,15800.0,32650.0,15350.0,33150.0,15650.0,117465,276594
2020-02-18,31015.7265625,15450.0,32600.0,15450.0,33150.0,15800.0,32500.0,15400.0,32950.0,15800.0,152373,326006
2020-02-19,31158.4375,15350.0,32750.0,15350.0,33250.0,15600.0,32200.0,14900.0,33000.0,15500.0,174877,380758
