date,time,open,high,low,close,qty,value,sign,jongchk,rate,
20230110,131500,68100,68100,68000,68000,385,0,3,0,0.0,
20230110,131600,68000,68100,68000,68100,93,0,2,0,0.0,
20230110,131700,68000,68100,68000,68100,705,0,2,0,0.0,
20230110,131800,68100,68100,68000,68000,391,0,3,0,0.0,
20230110,131900,68000,68100,68000,68000,437,0,3,0,0.0,
20230110,132000,68100,68100,68000,68100,164,0,2,0,0.0,
20230110,132100,68000,68100,68000,68100,127,0,2,0,0.0,
20230110,132200,68000,68100,68000,68000,237,0,3,0,0.0,
20230110,132300,68000,68100,68000,68100,197,0,2,0,0.0,
20230110,132400,68100,68100,68000,68100,207,0,2,0,0.0,
20230110,132500,68100,68100,68000,68000,165,0,3,0,0.0,
20230110,132600,68000,68100,68000,68100,521,0,2,0,0.0,
20230110,132700,68100,68100,68000,68000,242,0,3,0,0.0,
20230110,132800,68000,68100,68000,68000,306,0,3,0,0.0,
20230110,132900,68100,68100,68000,68100,220,0,2,0,0.0,
20230110,133000,68000,68100,68000,68000,422,0,3,0,0.0,
20230110,133100,68000,68100,68000,68000,287,0,3,0,0.0,
20230110,133200,68000,68100,68000,68100,1547,0,2,0,0.0,
20230110,133300,68100,68100,68000,68000,157,0,3,0,0.0,
20230110,133400,68000,68100,68000,68000,874,0,3,0,0.0,
20230110,133500,68000,68100,68000,68000,2269,0,3,0,0.0,
20230110,133600,68000,68100,68000,68000,899,0,3,0,0.0,
20230110,133700,68000,68100,68000,68000,923,0,3,0,0.0,
20230110,133800,68000,68100,67900,67900,2467,0,5,0,0.0,
20230110,133900,67900,68000,67900,67900,393,0,5,0,0.0,
20230110,134000,68000,68000,67800,67800,3253,0,5,0,0.0,
20230110,134100,67800,67900,67800,67800,223,0,5,0,0.0,
20230110,134200,67900,67900,67800,67800,364,0,5,0,0.0,
20230110,134300,67800,67900,67800,67800,864,0,5,0,0.0,
20230110,134400,67900,67900,67800,67800,332,0,5,0,0.0,
20230110,134500,67800,67900,67800,67800,307,0,5,0,0.0,
20230110,134600,67800,67900,67800,67900,488,0,5,0,0.0,
20230110,134700,67900,67900,67800,67800,209,0,5,0,0.0,
20230110,134800,67900,67900,67800,67800,308,0,5,0,0.0,
20230110,134900,67800,67900,67800,67800,646,0,5,0,0.0,
20230110,135000,67800,67900,67800,67900,239,0,5,0,0.0,
20230110,135100,67900,67900,67800,67800,195,0,5,0,0.0,
20230110,135200,67900,67900,67500,67600,20588,0,5,0,0.0,
20230110,135300,67600,67600,67500,67600,1815,0,5,0,0.0,
20230110,135400,67600,67600,67500,67500,614,0,5,0,0.0,
20230110,135500,67500,67600,67300,67400,4555,0,5,0,0.0,
20230110,135600,67400,67400,67300,67300,1844,0,5,0,0.0,
20230110,135700,67300,67400,67300,67300,643,0,5,0,0.0,
20230110,135800,67300,67400,67300,67300,1423,0,5,0,0.0,
20230110,135900,67400,67400,67300,67300,970,0,5,0,0.0,
20230110,140000,67300,67400,67300,67300,1100,0,5,0,0.0,
20230110,140100,67300,67400,67300,67300,1113,0,5,0,0.0,
20230110,140200,67400,67400,67300,67300,1314,0,5,0,0.0,
20230110,140300,67300,67400,67200,67400,2181,0,5,0,0.0,
20230110,140400,67300,67400,67300,67400,345,0,5,0,0.0,
20230110,140500,67400,67600,67300,67500,3889,0,5,0,0.0,
20230110,140600,67600,67600,67400,67400,761,0,5,0,0.0,
20230110,140700,67400,67500,67400,67400,265,0,5,0,0.0,
20230110,140800,67500,67500,67300,67300,851,0,5,0,0.0,
20230110,140900,67400,67400,67300,67400,376,0,5,0,0.0,
